sample_idx,generation,run_dir,recovery_rate,breakaway_speed_frac,utility_decay,k_s,slice_distance,mean_finish_time,mean_stamina,group_time_frac,coop_alpha,leave_alpha,follow_alpha,n_finished,n_agent_rows
193,99,/gpfs/work5/0/prjs2142/gsa-agent-dump-per-run/24277275-9b1b60f-sobol-dump/sobol/sample_0193/gen_0099,0.1140072390437126,0.9561799810267984,0.944336496014148,0.7883714721538126,0.6162745668484759,1642.6857142857143,0.3276976884117681,0.6410755904963996,-0.16934405379015313,-2.9988493808656185,-5.182873327587253,70,57494
194,99,/gpfs/work5/0/prjs2142/gsa-agent-dump-per-run/24277275-9b1b60f-sobol-dump/sobol/sample_0194/gen_0099,0.1140072390437126,0.9561799810267984,0.944336496014148,0.7550338216125965,0.6162745668484759,1715.6363636363637,0.7086862155646786,0.7886180584993642,-1.16592190876259,-5.851195607675162,-0.5900834759910415,55,47180
195,99,/gpfs/work5/0/prjs2142/gsa-agent-dump-per-run/24277275-9b1b60f-sobol-dump/sobol/sample_0195/gen_0099,0.153714842768386,0.8516582039184868,0.8228399034589529,0.7883714721538126,0.5962882352027927,1545.1636363636364,0.9988636363636364,0.42405629294926106,0.3647948221815451,1.880104170672185,0.9169971836494085,55,42492
196,99,/gpfs/work5/0/prjs2142/gsa-agent-dump-per-run/24277275-9b1b60f-sobol-dump/sobol/sample_0196/gen_0099,0.1014295945875346,0.8752586240880191,0.7055299826897681,0.7164694185368716,0.3419389423689259,1506.9782608695652,0.9988358556461001,0.5843972245062824,0.02346605132153375,2.4869980395092366,1.4101006655043278,92,69321
197,99,/gpfs/work5/0/prjs2142/gsa-agent-dump-per-run/24277275-9b1b60f-sobol-dump/sobol/sample_0197/gen_0099,0.1974022346083075,0.8752586240880191,0.7055299826897681,0.7164694185368716,0.7417433114251193,1506.9782608695652,0.9988358556461001,0.5843972245062824,0.02346605132153375,2.4869980395092366,1.4101006655043278,92,69321
198,99,/gpfs/work5/0/prjs2142/gsa-agent-dump-per-run/24277275-9b1b60f-sobol-dump/sobol/sample_0198/gen_0099,0.1014295945875346,0.969416301418096,0.7055299826897681,0.7164694185368716,0.3419389423689259,1808.108695652174,0.3626175669980958,0.727880441970351,0.9981256768841389,-3.1578036408594783,-2.021587760976548,92,83173
199,99,/gpfs/work5/0/prjs2142/gsa-agent-dump-per-run/24277275-9b1b60f-sobol-dump/sobol/sample_0199/gen_0099,0.1014295945875346,0.8752586240880191,0.4799499223008752,0.7164694185368716,0.08996190820552334,1505.5434782608695,0.9988331388564761,0.550732799075879,-0.6121709218732768,2.0494338295806354,0.8285149445096995,92,69255
200,99,/gpfs/work5/0/prjs2142/gsa-agent-dump-per-run/24277275-9b1b60f-sobol-dump/sobol/sample_0200/gen_0099,0.1014295945875346,0.8752586240880191,0.7055299826897681,0.8833046138286591,0.3419389423689259,1481.2826086956522,0.9897230757823047,0.6202468483540997,-0.6253132043360637,0.18999944208473019,0.0033562313471683564,92,68139
201,99,/gpfs/work5/0/prjs2142/gsa-agent-dump-per-run/24277275-9b1b60f-sobol-dump/sobol/sample_0201/gen_0099,0.1014295945875346,0.8752586240880191,0.7055299826897681,0.7164694185368716,0.3419389423689259,1503.2660550458716,0.9988331388564761,0.6605678156430036,-1.7813600288594051,1.646708755518402,1.376762706338092,109,81928
202,99,/gpfs/work5/0/prjs2142/gsa-agent-dump-per-run/24277275-9b1b60f-sobol-dump/sobol/sample_0202/gen_0099,0.1974022346083075,0.969416301418096,0.4799499223008752,0.8833046138286591,0.6643448236145901,1484.954128440367,0.6763028274038348,0.9506857778326949,1.9887677013525542,-3.0593286089914264,-3.051093723344539,109,80930
203,99,/gpfs/work5/0/prjs2142/gsa-agent-dump-per-run/24277275-9b1b60f-sobol-dump/sobol/sample_0203/gen_0099,0.1784919172991067,0.9372783396858722,0.1703334899619221,0.8859687305055559,0.5894356391637664,1462.6933333333334,0.5035658305807249,0.8957904140307378,1.739468954811582,0.10462307469024139,-3.060082457653179,150,109702
204,99,/gpfs/work5/0/prjs2142/gsa-agent-dump-per-run/24277275-9b1b60f-sobol-dump/sobol/sample_0204/gen_0099,0.1170016981195658,0.9372783396858722,0.1703334899619221,0.8859687305055559,0.28145657874598584,1467.12,0.49069712125239107,0.907555846374757,3.9689391928600193,0.06639243575921794,-3.463404814505378,150,110034
205,99,/gpfs/work5/0/prjs2142/gsa-agent-dump-per-run/24277275-9b1b60f-sobol-dump/sobol/sample_0205/gen_0099,0.1784919172991067,0.8751043762546032,0.1703334899619221,0.8859687305055559,0.5894356391637664,1474.96,0.906394613481822,0.741669830594276,0.44531918085744865,-0.3011170251690618,0.20196069602183653,150,110622
206,99,/gpfs/work5/0/prjs2142/gsa-agent-dump-per-run/24277275-9b1b60f-sobol-dump/sobol/sample_0206/gen_0099,0.1784919172991067,0.9372783396858722,0.9194992380216718,0.8859687305055559,0.7868820379876638,1460.04,0.6115299837464818,0.9449786763832955,-0.8664873773153967,-0.24481968801070272,-3.2948942653024478,150,109503
207,99,/gpfs/work5/0/prjs2142/gsa-agent-dump-per-run/24277275-9b1b60f-sobol-dump/sobol/sample_0207/gen_0099,0.1784919172991067,0.9372783396858722,0.1703334899619221,0.8295796990394592,0.5894356391637664,1534.6133333333332,0.7197705354883055,0.8059185375686384,0.5754185565822291,-1.5292051247865386,-3.8747095030382677,150,115096
208,99,/gpfs/work5/0/prjs2142/gsa-agent-dump-per-run/24277275-9b1b60f-sobol-dump/sobol/sample_0208/gen_0099,0.1784919172991067,0.9372783396858722,0.1703334899619221,0.8859687305055559,0.5894356391637664,1488.9761904761904,0.47751145484218815,0.8336504789164815,3.1485134161776,-1.8332974908567425,-2.109841189135394,84,62537
209,99,/gpfs/work5/0/prjs2142/gsa-agent-dump-per-run/24277275-9b1b60f-sobol-dump/sobol/sample_0209/gen_0099,0.1170016981195658,0.8751043762546032,0.9194992380216718,0.8295796990394592,0.5924244886148924,1495.3095238095239,0.9988317757009346,0.5340986895530468,-0.882307520076694,0.8544343740634356,0.6156037923205628,84,62803
