metric,param_1,param_2,S2,S2_conf
MeanExposure,breakaway_speed_frac,n_agents,0.03560916028733637,0.09579537876100847
MeanExposure,utility_decay,k_s,-0.02720863601318929,0.025307231177273917
MeanExposure,utility_decay,n_agents,-0.013036566879523634,0.02252108926676084
MeanExposure,k_s,n_agents,0.07274191747136746,0.09312289173189266
TotalTime,recovery_rate,breakaway_speed_frac,-0.0005450795880771304,0.003211993875475607
TotalTime,recovery_rate,utility_decay,-0.0005788745867187932,0.0033336012477449693
TotalTime,recovery_rate,k_s,-0.00013508432304189938,0.003180579569219618
TotalTime,recovery_rate,n_agents,0.0022286252707310883,0.0028008046895351994
TotalTime,breakaway_speed_frac,utility_decay,0.0019777657379419084,0.016228831885217815
TotalTime,breakaway_speed_frac,k_s,0.006439782301992981,0.017162495972342234
TotalTime,breakaway_speed_frac,n_agents,0.00863288926973782,0.016878728255455323
TotalTime,utility_decay,k_s,0.0006308900081400878,0.002049982952916221
TotalTime,utility_decay,n_agents,0.0006838357090238611,0.002183297534816085
TotalTime,k_s,n_agents,0.01341713997732108,0.04283907983481997
MeanTime,recovery_rate,breakaway_speed_frac,0.006115879050313293,0.015134078695761527
MeanTime,recovery_rate,utility_decay,0.0006179463271747425,0.015474507041287926
MeanTime,recovery_rate,k_s,0.016324399680379686,0.02112489481189741
MeanTime,recovery_rate,n_agents,0.0020100846263681575,0.015594089399744552
MeanTime,breakaway_speed_frac,utility_decay,0.0038352551736666775,0.08517423157629297
MeanTime,breakaway_speed_frac,k_s,0.1818313154575364,0.08251573538360085
MeanTime,breakaway_speed_frac,n_agents,0.009175223403008886,0.08235370343716922
MeanTime,utility_decay,k_s,-0.013632771379548658,0.016082710590744266
MeanTime,utility_decay,n_agents,-0.0033175172880142156,0.014351010026962945
MeanTime,k_s,n_agents,0.04932370804248272,0.1480967058265237
TotalStaminaSpent,recovery_rate,breakaway_speed_frac,-0.005717212422944096,0.020212466778578166
TotalStaminaSpent,recovery_rate,utility_decay,-0.00046519648533724974,0.02081425348966527
TotalStaminaSpent,recovery_rate,k_s,-0.009190077042565747,0.018002666375439586
TotalStaminaSpent,recovery_rate,n_agents,0.011488787560671954,0.02302438381017447
TotalStaminaSpent,breakaway_speed_frac,utility_decay,-0.0034247273659267436,0.07749737228311769
TotalStaminaSpent,breakaway_speed_frac,k_s,0.19948584243986703,0.102634744897316
TotalStaminaSpent,breakaway_speed_frac,n_agents,0.08668908168203779,0.09459229383645168
TotalStaminaSpent,utility_decay,k_s,-0.014095879710928322,0.020692642408797157
TotalStaminaSpent,utility_decay,n_agents,0.015342795184963037,0.022922479150873955
TotalStaminaSpent,k_s,n_agents,0.1384739663218679,0.15483862967992285
MeanStaminaSpent,recovery_rate,breakaway_speed_frac,0.0065647451868377504,0.023145376471862263
MeanStaminaSpent,recovery_rate,utility_decay,0.007213979318609072,0.02619834029682671
MeanStaminaSpent,recovery_rate,k_s,0.005850000981685921,0.02483815312396086
MeanStaminaSpent,recovery_rate,n_agents,0.0067481827304931765,0.027941541532446885
MeanStaminaSpent,breakaway_speed_frac,utility_decay,-0.02173958320499282,0.08312063133522364
MeanStaminaSpent,breakaway_speed_frac,k_s,0.2821502765528226,0.10760315507939176
MeanStaminaSpent,breakaway_speed_frac,n_agents,-0.016325717651298678,0.08192149612530387
MeanStaminaSpent,utility_decay,k_s,-0.00833647654636005,0.018620737774186494
MeanStaminaSpent,utility_decay,n_agents,0.004718022482203184,0.02143382613422774
MeanStaminaSpent,k_s,n_agents,0.044250253104637614,0.10195782313683986
