generation,n_finished,effort.alpha_mean,effort.alpha_std,effort.beta_dist_mean,effort.beta_dist_std,effort.gamma_team_mean,effort.gamma_team_std,effort.delta_energy_mean,effort.delta_energy_std,effort.gamma_match_mean,effort.gamma_match_std,sustain.bias_mean,sustain.bias_std,sustain.k_gap_mean,sustain.k_gap_std,weights.lambda_speed_mean,weights.lambda_speed_std,weights.lambda_energy_mean,weights.lambda_energy_std,weights.lambda_risk_mean,weights.lambda_risk_std,weights.beta_loss_mean,weights.beta_loss_std,utility_mean,utility_std,utility_min,utility_max,utility_range
20,50,0.06337109426616418,0.3596513397334142,-0.2514001048424639,0.25226326226016593,0.2518959524188151,0.43521188240849235,-0.4203124895568709,0.25318582386482236,-0.3292067952832053,0.41173066663262925,-0.22678034867827943,0.4598279598044615,0.2620135611222908,0.23299951273221317,1.2767936647322704,0.5471621880267491,1.3693221856730726,0.47074831256789557,0.5134451790088267,0.29225041604474,2.0678806978954207,0.2632856186616695,0.12132979101871011,0.3613258632932933,6.149759759173212e-09,2.0,1.9999999938502402
21,50,0.06460109862030858,0.31530711468353156,-0.28918318117982095,0.2478391331564247,0.26657406092489927,0.3776032951278826,-0.455237902640368,0.2267648133329919,-0.39820078126654085,0.3768528440103759,-0.2734565120010072,0.3946589684825995,0.2515598017657005,0.22643819265491485,1.2380620475780058,0.5120147632429856,1.3634918135945733,0.4685704217155841,0.48296309843428376,0.2583702528971481,2.0676115450987775,0.27104237356313143,0.12132979101871011,0.3613258632932933,6.149759759173212e-09,2.0,1.9999999938502402
22,50,0.10276641409946329,0.2079731568656302,-0.27273723021941115,0.24468136746876137,0.28510178072502296,0.36815497099977607,-0.471871813803505,0.22996108643722354,-0.41112110168827465,0.2907632642377605,-0.2676881613111066,0.3026346131909255,0.23290664185267848,0.1764809960840413,1.281952527627143,0.46783508975311555,1.4323892138229783,0.40342743497961014,0.480897260918789,0.25674155067058646,2.1186381838496473,0.26784823700892224,0.12132979101871011,0.3613258632932933,6.149759759173212e-09,2.0,1.9999999938502402
23,50,0.07617887415029802,0.14423943004641482,-0.2569619772261216,0.20333601569419196,0.2849083834859193,0.3092150361056567,-0.5082181885257175,0.19219170305690528,-0.4197133786263029,0.273454492457621,-0.3287034932377157,0.33131934542926544,0.2396794428252215,0.16093531049711624,1.2012823296517703,0.3909512976261447,1.4389102821199256,0.39806440830994716,0.45555759674919005,0.1735674413282363,2.1331232362400696,0.24588300678537595,0.12132979101871011,0.3613258632932933,6.149759759173212e-09,2.0,1.9999999938502402
24,50,0.07861341906946857,0.1396572152513254,-0.2780067800796951,0.17678446733639944,0.2828085025788041,0.29469077442614555,-0.5030382904422076,0.16445187256698937,-0.42488650275444717,0.23624602763410707,-0.3280462710304135,0.3065400079792401,0.23929440284055428,0.15219094680642306,1.1705548821086202,0.3695420277962088,1.4305492439417795,0.38752413877778896,0.4511518792115195,0.16958879424450138,2.105721224931763,0.22583449871942768,0.12132979101871011,0.3613258632932933,6.149759759173212e-09,2.0,1.9999999938502402
25,50,0.08903591556280596,0.14518313310156225,-0.30414759301590805,0.18278983153728978,0.30932719716004575,0.30740441890961295,-0.5025874780384628,0.162535216334287,-0.4506636957905627,0.23606002793666125,-0.312046656256617,0.28858756386980977,0.24430539619413422,0.15360073387416182,1.161619142461905,0.3792597926834723,1.467790114917116,0.3929427523120408,0.44771213050849534,0.18266201645949123,2.0916399712684126,0.2247182076485802,0.12132979101871011,0.3613258632932933,6.149759759173212e-09,2.0,1.9999999938502402
26,50,0.09458397019488553,0.13557887176480982,-0.3263333598930941,0.16678940467601555,0.32173737564345223,0.3052008277810289,-0.516972990407895,0.15635709273187787,-0.4612051112690872,0.23408368247321215,-0.3414026858948303,0.27883029655895675,0.25177872036536797,0.15352640741091553,1.125280015187603,0.3609732239874988,1.4728500800159132,0.4019906487259276,0.43635018033290673,0.17929497475434916,2.0766628904098794,0.20639045417134108,0.12132979101871011,0.3613258632932933,6.149759759173212e-09,2.0,1.9999999938502402
27,50,0.10452586549247733,0.15452435817542215,-0.31940114790221946,0.16091695422957172,0.35480210430200687,0.3204399133222847,-0.5194393069737573,0.15473587302701003,-0.4290670326026124,0.2301099531714688,-0.3668918795096654,0.30455424853892993,0.27450139344255453,0.15341998783058206,1.152403691334544,0.40059960214896123,1.4689162087850463,0.38241838748425605,0.47102025657665453,0.21202901456908016,2.07502986428846,0.19955600552500857,0.12132979101871011,0.3613258632932933,6.149759759173212e-09,2.0,1.9999999938502402
28,50,0.08370385688040288,0.14770134892059011,-0.3282873876250922,0.14667224241672425,0.3317734517287332,0.3076019749033802,-0.518409685645653,0.15687273257267,-0.3956139585372722,0.19957435911799234,-0.3927590972391925,0.2984669582147871,0.2806050805780779,0.13135596614028763,1.0947302305721551,0.35360110894770796,1.4557295025803183,0.3891317207100486,0.4516078934240255,0.19827682619282855,2.0415709651894174,0.1649830347003991,0.12132979101871011,0.3613258632932933,6.149759759173212e-09,2.0,1.9999999938502402
29,50,0.07974197105646258,0.13699545378474903,-0.3348628475720678,0.11096425616230601,0.3136982188746692,0.2987170671268726,-0.5057048157095182,0.0860008491830439,-0.39842103574082227,0.14236122303103144,-0.3876229792169961,0.28123074152138244,0.26821373147679994,0.12624896533298757,1.0886516921856375,0.3319948878742096,1.4118009087178125,0.3694811786187009,0.45392488124327973,0.1805141115677485,2.0269191426384654,0.14692447578245277,0.12132979101871011,0.3613258632932933,6.149759759173212e-09,2.0,1.9999999938502402
30,50,0.08443610761825639,0.11743840671920455,-0.33849764905855295,0.10507341188719828,0.3334448300050811,0.28047092523513734,-0.5114486605430689,0.07280132392248764,-0.4157065253361116,0.1320383482718779,-0.4172246916569103,0.27701949917401675,0.27433488061078853,0.12028112800180234,1.0667314920440716,0.30015732746311985,1.4351081909756798,0.36030319190513277,0.44772777937795527,0.15411296066236724,2.0366644267181613,0.14539852583142812,0.12132979101871011,0.3613258632932933,6.149759759173212e-09,2.0,1.9999999938502402
