metric,param_1,param_2,S2,S2_conf
MeanTime,breakaway_speed_frac,n_agents,-0.037571387853672464,0.08905727471806799
MeanTime,utility_decay,k_s,0.0002647768176856635,0.019173538354025497
MeanTime,utility_decay,n_agents,-0.01707344040322694,0.019151962986826213
MeanTime,k_s,n_agents,-0.033574402896650736,0.11457564869890913
TotalStaminaSpent,recovery_rate,breakaway_speed_frac,-0.010485348046019874,0.022494580790570966
TotalStaminaSpent,recovery_rate,utility_decay,-0.01436907444861835,0.021803142721095486
TotalStaminaSpent,recovery_rate,k_s,0.0020559410099517117,0.020340840700849516
TotalStaminaSpent,recovery_rate,n_agents,-0.02346060458760868,0.02445940440426322
TotalStaminaSpent,breakaway_speed_frac,utility_decay,0.03394814533022364,0.07430733226223189
TotalStaminaSpent,breakaway_speed_frac,k_s,0.28126257774792784,0.08575917226551681
TotalStaminaSpent,breakaway_speed_frac,n_agents,0.13419238617231805,0.1143183451690777
TotalStaminaSpent,utility_decay,k_s,0.011431338112906198,0.019907200736450616
TotalStaminaSpent,utility_decay,n_agents,-0.00703002942593009,0.022000810354326526
TotalStaminaSpent,k_s,n_agents,0.19084353366130985,0.1683335921327714
MeanStaminaSpent,recovery_rate,breakaway_speed_frac,-0.01860749401496603,0.028527526640120527
MeanStaminaSpent,recovery_rate,utility_decay,-0.02361304206412551,0.028549923640105602
MeanStaminaSpent,recovery_rate,k_s,0.007410069292921095,0.028066258815011763
MeanStaminaSpent,recovery_rate,n_agents,-0.01710838276590094,0.027518550115339685
MeanStaminaSpent,breakaway_speed_frac,utility_decay,0.004933925069616931,0.06868042441666043
MeanStaminaSpent,breakaway_speed_frac,k_s,0.37432354524532246,0.11669111852919045
MeanStaminaSpent,breakaway_speed_frac,n_agents,0.02333955652968916,0.07093322607987716
MeanStaminaSpent,utility_decay,k_s,0.015888789505772882,0.02118807151865352
MeanStaminaSpent,utility_decay,n_agents,-0.004239369489760839,0.024326445501095233
MeanStaminaSpent,k_s,n_agents,0.04972039380167608,0.11379234126009377
