ks_bin_label,breakaway_bin_label,mean_finish_time,mean_stamina,group_time_frac,coop_alpha,leave_alpha,follow_alpha,n_runs
0.835,0.948,1544.0681196784035,0.5810132997932829,0.7745901060902051,1.261958142817582,-1.559796540050531,-1.4038148917052038,32
0.835,0.962,1555.5608086770017,0.6037482214536781,0.7911426685961024,1.2070463850917705,-2.2612603563704075,-2.8460839082136418,35
0.835,0.978,1550.2649851298606,0.6401005541643009,0.8220362119793564,1.5144500904331413,-1.6443611061163772,-2.807388583643362,35
0.835,0.992,1567.8894291629674,0.6426126501374952,0.8113205673117992,1.9920935709371357,-1.8336167936796968,-2.949825974950822,40
0.865,0.857,1508.634663441826,0.9988500333661613,0.5887859302506881,-0.27770687616580625,-0.04430071279407532,-0.21572158549143094,37
0.865,0.873,1489.232177638348,0.9988380855291062,0.6226879838082666,-0.749372026043098,0.5581233693700531,0.5465440059368359,27
0.865,0.887,1495.135018785343,0.740514457633676,0.6939993050730537,0.875407150904355,-1.157471039504244,0.6213859445469317,43
0.865,0.903,1501.4355242562958,0.6707032687538569,0.7883887805742505,0.42971169308609464,-2.2966970888917047,1.7603315546066785,37
0.865,0.917,1500.5587056151194,0.5803916555476776,0.7662298913417762,0.4586442983473749,-1.307626094435722,-0.8237160595898018,33
0.865,0.932,1497.5294153259097,0.6265014231336583,0.7884534766834419,0.6629189783508186,-1.2772812468276669,-1.7794812946800942,31
0.865,0.948,1493.8162660680562,0.6098127292902034,0.8257232141076296,1.5608066446701672,-1.1102157068540057,-1.6557738723247404,34
0.865,0.962,1500.834841598668,0.6398080312169714,0.8543933219637031,1.0440583182619914,-1.7256396635360551,-3.1430157793198052,40
0.865,0.978,1502.354599566368,0.7114675521748327,0.8663897764946645,2.1723415755468354,-1.5455886231731153,-3.2026293348271238,37
0.865,0.992,1500.3254173315709,0.8188763354214921,0.9238202828075516,-0.42048619254569286,-1.7696428872800627,-2.6415283434121064,33
0.895,0.857,1495.814667854216,0.8415377961708927,0.6962511064822524,-0.3196604302493483,-0.15910453817613202,-0.7549732461027354,32
0.895,0.873,1484.0827067778848,0.8704664439264801,0.6008180219329137,-0.5184989849653187,0.6292339134991323,-0.023268226075282582,46
0.895,0.887,1477.258682957099,0.6924740512461391,0.766538809953346,0.2902300261493378,-0.8398442385807947,0.39065723587187784,29
0.895,0.903,1471.681396539286,0.6103636951816512,0.8916229390047005,1.2489436498486235,-0.8838407863004809,-0.45443926742422935,36
0.895,0.917,1466.1364911165613,0.6304518481799407,0.9018334285810697,0.7515878371583796,-0.9984603969196755,-1.7190289527845342,39
0.895,0.932,1464.3070775053075,0.5916804039831475,0.8969338811686246,0.2281621788176299,-1.3799355980104202,-2.8173903040333337,38
0.895,0.948,1462.5153242236831,0.5955006038919413,0.9204941416382084,2.000121445672562,-1.0073573806308502,-3.4461413478805993,36
0.895,0.962,1455.4252828763229,0.7254055848353919,0.9611395829642573,0.41256957858640314,-1.314663575844179,-3.318077217680447,36
0.895,0.978,1459.3096238421574,0.7172510569713479,0.96020137820646,1.6611151367014523,-1.6251056131496908,-3.9542134661236976,37
0.895,0.992,1451.291748652321,0.8222652127388981,0.9739023156742773,0.1909890897413007,-1.7729159870220201,-3.3087150632849665,35
0.925,0.857,1493.238270769841,0.7882613946045134,0.6129497656193906,-0.5343190746049407,0.5814553837536404,-0.9779215646061284,35
0.925,0.873,1484.2835768833245,0.7682482196056358,0.5361186062866626,-0.6502372807812421,1.248753816534268,-0.38917002752009094,38
0.925,0.887,1471.2369510974324,0.6172737910465016,0.7676870215553651,0.7240387543131208,0.2136942717833645,-1.7478005781223114,35
0.925,0.903,1410.6161384395054,0.6607377231663842,0.9439828426260588,1.2884793345584442,-1.0223423791890742,-3.6458209093498586,35
