generation,n_finished,MeanStamina,NumGroups,Breakaways,MeanExposure,effort.alpha_mean,effort.alpha_std,effort.beta_dist_mean,effort.beta_dist_std,effort.gamma_team_mean,effort.gamma_team_std,effort.delta_energy_mean,effort.delta_energy_std,effort.gamma_match_mean,effort.gamma_match_std,sustain.bias_mean,sustain.bias_std,sustain.k_gap_mean,sustain.k_gap_std,weights.lambda_speed_mean,weights.lambda_speed_std,weights.lambda_energy_mean,weights.lambda_energy_std,weights.lambda_risk_mean,weights.lambda_risk_std,weights.beta_loss_mean,weights.beta_loss_std,utility_mean,utility_std,utility_min,utility_max,utility_range
10,41,0.06016396450337157,22.50124688279302,41.581047381546135,0.9789092696179228,0.06861007129862219,0.9999969885693234,0.03207555194228138,0.7275824088152113,0.0715368014874401,0.9189671520760925,-0.3038527693806251,0.9121911878939347,0.004288121890690305,0.8498811271150086,0.31808996308275217,0.9347925309623828,0.6005227514154203,0.973511249189542,1.1833554223730938,0.8650861061080332,1.152231809828573,0.9859547560701927,0.5564936677608568,0.3974305633773487,1.5014044299072773,0.49079751081792583,0.12132978211632718,0.3613258662826276,0.0,2.0,2.0
11,44,0.060908016590854645,21.184538653366584,41.68827930174564,0.9777947976486402,0.07547624423662293,0.9960647060858346,0.03672751697322025,0.7225628662247068,0.07903415599490735,0.8855229993583641,-0.2926904196344316,0.9095903570826185,-0.015601191365110479,0.8342284251382496,0.3031334669348412,0.9419628358330725,0.6163976103962867,0.9728207345463228,1.1935622178855634,0.8752174219874247,1.1575689912039688,0.9830347394969425,0.5650238703762589,0.38478712265472165,1.5030062501353083,0.47073521485738984,0.12132978851212078,0.361325864134982,0.0,2.0,2.0
12,42,0.059777291350037134,22.054862842892767,41.6857855361596,0.978767545534958,0.08382255098309549,0.9971305695283585,0.02429783964430461,0.721127391243978,0.09733445887767067,0.8760197196091595,-0.3097429747019507,0.9084442122697848,-0.023782126569235385,0.8298268040751725,0.33714080633332655,0.9390780463053299,0.6528358220465584,0.9612374369439951,1.1892656592161035,0.8710687523547147,1.1815016229561197,0.9684747269123535,0.575245199649626,0.37849220276855894,1.5045502813292946,0.47018097006135023,0.12132978513371052,0.3613258652694196,0.0,2.0,2.0
13,42,0.05885994950216573,22.15211970074813,41.78304239401496,0.9801438308134547,0.10025484499004426,0.9946773120625542,0.04306127910270776,0.7189097714701259,0.08328843687159015,0.8880435459179282,-0.2940319339038398,0.906723669805311,-0.030827889705632407,0.8341763024602309,0.33690929095939603,0.9515289333193411,0.6665117695781115,0.9746404635300094,1.2311708526038962,0.8531344220310108,1.1346389011991862,0.9557603629573524,0.5608975020433836,0.38115847126394725,1.4900047245132249,0.4718659256990374,0.12132978513371052,0.3613258652694196,0.0,2.0,2.0
14,42,0.05887273395911224,20.987531172069826,41.72568578553616,0.9783782471318586,0.0978536601440021,0.9933525574532022,0.04628818277518159,0.7297491683548576,0.06436188877027185,0.9295209991827318,-0.25626169621551964,0.8978696039652393,0.0183059558273412,0.8474805229345134,0.31085922472494526,0.9326002695542526,0.5802402076935514,0.9563977460207537,1.2356988131874467,0.8524718187067125,1.1078459247352912,0.9813990949077338,0.5474697692741924,0.4039617448760757,1.4816466699563926,0.48782509256260237,0.12132978513371052,0.3613258652694196,0.0,2.0,2.0
15,43,0.05938020817699827,22.042394014962593,41.561097256857856,0.9790444325564844,0.1019163838874673,0.9967180932003392,0.028459924629395665,0.7698000888833073,0.15879298037308137,0.917483273774412,-0.17624375085427207,0.8980913438286583,-0.07187505972907791,0.8016331867759903,0.200043094528233,0.9271539837748249,0.5637825437020898,0.9895889573215784,1.2664742212793767,0.8673310453905722,1.1559259230179946,0.9991962243145939,0.5922813085738431,0.407379811965298,1.5234797793786796,0.4555307535987964,0.12132978715632306,0.3613258645902459,0.0,2.0,2.0
16,41,0.05910292180451152,21.044887780548628,41.56857855361596,0.9789936125987566,0.10015971703990764,0.9784228526338237,-0.024476177982933257,0.7759553617459445,0.21325441482493807,0.8906830488250045,-0.21422690252563975,0.9051505758671113,-0.07145543671569764,0.8065940898722928,0.2986331943971753,0.9094037732050533,0.6112412020082212,0.9979902324304081,1.2468184632990285,0.8563282471055897,1.2247671322533875,0.9631676709693311,0.6295230448783534,0.3941200568065113,1.5588364353294792,0.4050669986343296,0.12132978211632718,0.3613258662826276,0.0,2.0,2.0
17,43,0.058705226219604514,21.448877805486283,41.69576059850374,0.9789509011267693,0.07535700698271124,0.9771855058018245,0.005395938172114509,0.7364125021114505,0.12277043709982616,0.8698909369179368,-0.30901934163764816,0.8978348924207198,-0.03514609699140137,0.8257638198321354,0.36431768465329595,0.917388226416286,0.663102967343172,0.9875662465267255,1.19835770014061,0.8703372698934774,1.1990003119836654,0.975365676488523,0.5932657185969464,0.3823285403840016,1.5320261466128395,0.4304909301543166,0.12132978715632306,0.3613258645902459,0.0,2.0,2.0
18,41,0.05861783296710949,21.45137157107232,41.82543640897756,0.9805192665749549,0.07681666999225784,0.970097411504835,0.047408844002756634,0.7147919517073364,0.04659987123878506,0.8910015704827297,-0.30066772090212246,0.8936395292967007,0.010852443155371306,0.8419041584739578,0.36110948610335386,0.9203276522787103,0.6248023085748976,0.9682449991080246,1.2261034528511343,0.8502181917608532,1.110258369217687,0.9604818780900961,0.5488202460159386,0.38293946552758856,1.4974972616701578,0.44490686131580975,0.12132978211632718,0.3613258662826276,0.0,2.0,2.0
19,44,0.06061567040216732,21.887780548628427,41.61845386533666,0.9788196925186883,0.0699742652862862,0.9754638893306332,0.03667004945787835,0.7109626878615604,0.06256129821413854,0.8752321592918064,-0.3543509882622202,0.9039473272990535,-0.02275218955918245,0.8384703109653819,0.3928751102152529,0.9273869936249316,0.7010181670588984,0.9725133034355182,1.1950636850223872,0.8691413064045306,1.1551767671087643,0.9750415022034257,0.5641781718891895,0.38087567018232804,1.5065266864284295,0.44556206211630744,0.12132978851212078,0.361325864134982,0.0,2.0,2.0
