qoi,param_i,param_j,S2,S2_conf
n_finished,draft_coefficient,breakaway_speed_frac,-0.011834769296766391,0.06300715033585941
n_finished,draft_coefficient,k_aero,0.009233116870359104,0.07561755799955037
n_finished,draft_coefficient,c_roll,-0.019382165879714593,0.06351440493892432
n_finished,draft_coefficient,recovery_rate,-0.008061071005292275,0.06009200763778176
n_finished,draft_coefficient,cp_fraction,-0.0008146442247315838,0.06814949707441592
n_finished,draft_coefficient,group_radius,-0.011556951017639452,0.06002888486105081
n_finished,breakaway_speed_frac,k_aero,-0.02198454179122389,0.07429501237216243
n_finished,breakaway_speed_frac,c_roll,-0.070070255603443,0.07145560113551401
n_finished,breakaway_speed_frac,recovery_rate,-0.06622710274218718,0.06896654195359651
n_finished,breakaway_speed_frac,cp_fraction,-0.0377044260851559,0.07133452306950329
n_finished,breakaway_speed_frac,group_radius,-0.06717631519587085,0.06943424598855087
n_finished,k_aero,c_roll,-0.07987637267450128,0.2027515061065663
n_finished,k_aero,recovery_rate,-0.15666997532983631,0.17524528665123124
n_finished,k_aero,cp_fraction,0.11302211913262897,0.2492989973625177
n_finished,k_aero,group_radius,-0.11939602288030678,0.18597914143406666
n_finished,c_roll,recovery_rate,0.017409945491954154,0.05179378685642337
n_finished,c_roll,cp_fraction,0.05396620072040578,0.06133573132002083
n_finished,c_roll,group_radius,0.008288245327286687,0.04905645767194627
n_finished,recovery_rate,cp_fraction,-0.012883099209409436,0.047102192603510507
n_finished,recovery_rate,group_radius,-0.024759830642085572,0.0477316545373599
n_finished,cp_fraction,group_radius,0.0007473601102554843,0.14619632380266248
mean_stamina,k_s,draft_coefficient,0.09356412928910003,0.2692925976869786
mean_stamina,k_s,breakaway_speed_frac,0.14811688884122792,0.33950985619416785
mean_stamina,k_s,k_aero,0.06959675418438876,0.2661691477449048
mean_stamina,k_s,c_roll,0.08978867579150522,0.27177784796980675
mean_stamina,k_s,recovery_rate,0.04638903132174603,0.25467760159051966
mean_stamina,k_s,cp_fraction,0.060965433539134195,0.25301709263780564
mean_stamina,k_s,group_radius,0.08495529219307327,0.26957987625434005
mean_stamina,draft_coefficient,breakaway_speed_frac,-0.17805498263897224,0.3349225796972915
