metric,param,mu_star,mu_star_conf,sigma
Breakaways,breakaway_speed_frac,21.685884425151094,18.58205552724098,41.607277880904455
Breakaways,breakaway_cooldown_steps,6.5170575069804055,3.660189643376465,8.69481495658312
Breakaways,utility_decay,3.878710899143898,2.3153432054904597,5.665761795880013
Breakaways,evo_noise,0.7106480320730962,0.43320626909730653,1.312946045512619
Breakaways,sim_scale,0.0,0.0,0.0
Breakaways,evo_bottom_frac,3.692208069528474,2.1611846171419775,6.573224642195766
Breakaways,evo_top_frac,2.1026055524629697,1.4196918106992955,4.027877299918224
Breakaways,imitation_mu,1.9774432032195768,1.0579209978431505,3.032156472486114
Breakaways,n_agents,71.48095712398194,18.171328733777173,47.19789200448985
Breakaways,n_teams,6.041972010716405,7.861986408542406,20.087754309398793
MeanExposure,w_max10_mean,0.042535620482814576,0.015933300576799505,0.04636706163320025
MeanExposure,w_max10_std,0.17487581109877526,0.10986128680459849,0.25710554210925557
MeanExposure,cp_fraction,0.373081185941616,0.17379654418211463,0.45362503860865905
MeanExposure,recovery_rate,0.06314990916427383,0.055621917211114515,0.11527896694916924
MeanExposure,k_aero,0.035776051017089215,0.02393789617639617,0.05925867909812353
MeanExposure,c_roll,0.04507484206724437,0.03278102593841844,0.09111414249318533
MeanExposure,ref_speed_frac,0.5052034948547982,0.16578389160934753,0.41190588351265944
MeanExposure,k_s,0.19691527189672542,0.10410653175340805,0.2883479353393989
MeanExposure,breakaway_speed_frac,0.18544007329193643,0.11661741280456879,0.3288454113917074
MeanExposure,breakaway_cooldown_steps,0.10538802487372453,0.03473502216468117,0.12492589566547518
MeanExposure,utility_decay,0.022760743942082325,0.018341040294890313,0.05557287279152297
MeanExposure,evo_noise,0.015681098557717783,0.011581980397346538,0.030190785149672633
MeanExposure,sim_scale,0.0,0.0,0.0
MeanExposure,evo_bottom_frac,0.03747238525572073,0.030342044660421688,0.07996820857715561
MeanExposure,evo_top_frac,0.025175716204848885,0.020256875731195344,0.049248232053197866
MeanExposure,imitation_mu,0.03768756680138299,0.04286451093954009,0.10197588289188372
MeanExposure,n_agents,0.18078760342705974,0.10727469673949368,0.2749452921529171
MeanExposure,n_teams,0.0447666296220634,0.049658154701281064,0.12921469612803305
TotalTime,w_max10_mean,34117.65,9333.482146844091,24341.57526538754
TotalTime,w_max10_std,7854.630000000002,6503.5006816451505,14467.739983079598
TotalTime,cp_fraction,31296.105000000003,13191.093033130926,44473.20122585327
TotalTime,recovery_rate,2124.6600000000008,1997.6586250026664,5288.550475269543
TotalTime,k_aero,45942.07499999999,7432.611677387161,17326.694671696154
TotalTime,c_roll,6454.454999999999,3303.052145800641,7372.360247521604
TotalTime,ref_speed_frac,55959.98999999999,21474.983236640906,48616.78623035247
